"method","pc","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"SVC.c30",21,0.79,0.47,0.56,0.49,0.73,0.77,0.62,0.52,0.81,0.5,0.88,0.55,0.8,0.7,0.65,0.65,0.79,0.63,0.52,0.5,0.76,0.85,0.72,0.6,0.77,0.76,0.69,0.59,0.79,0.49,0.63,0.55,0.8,0.61,0.65,0.6,0.77,0.53,0.65,0.5,0.78,0.73,0.6,0.55,0.77,0.61,0.6,0.56,0.74,0.65,0.68,0.56,0.76,0.84,0.57,0.5,0.73,0.73,0.64,0.52,0.81,0.63,0.81,0.63,0.84,0.62,0.62,0.59,0.8,0.58,0.79,0.5,0.78,0.66,0.59,0.56,0.77,0.54,0.75,0.5
"SVC.c50",21,0.81,0.56,0.49,0.48,0.74,0.79,0.64,0.55,0.81,0.58,0.88,0.55,0.8,0.77,0.64,0.65,0.79,0.69,0.52,0.5,0.76,0.78,0.72,0.61,0.78,0.65,0.69,0.59,0.81,0.6,0.59,0.55,0.8,0.62,0.65,0.6,0.78,0.6,0.58,0.49,0.79,0.65,0.6,0.55,0.79,0.5,0.61,0.57,0.75,0.68,0.68,0.56,0.76,0.81,0.58,0.5,0.74,0.71,0.67,0.52,0.81,0.59,0.81,0.63,0.84,0.51,0.62,0.59,0.81,0.64,0.74,0.49,0.8,0.49,0.61,0.57,0.78,0.59,0.69,0.5
"SVC.c80",21,0.84,0.64,0.49,0.52,0.77,0.69,0.67,0.58,0.84,0.62,0.87,0.58,0.8,0.64,0.64,0.65,0.81,0.43,0.5,0.49,0.77,0.76,0.75,0.62,0.8,0.52,0.7,0.6,0.85,0.65,0.54,0.59,0.81,0.51,0.67,0.6,0.8,0.62,0.47,0.48,0.8,0.65,0.58,0.56,0.82,0.59,0.57,0.6,0.78,0.64,0.66,0.58,0.77,0.8,0.6,0.5,0.76,0.78,0.72,0.51,0.81,0.48,0.82,0.64,0.85,0.58,0.63,0.6,0.83,0.65,0.73,0.51,0.82,0.62,0.54,0.6,0.8,0.55,0.65,0.53
"SVC.c100",21,0.85,0.63,0.48,0.54,0.78,0.7,0.69,0.6,0.85,0.63,0.83,0.59,0.8,0.56,0.64,0.65,0.82,0.54,0.49,0.5,0.78,0.73,0.8,0.63,0.81,0.49,0.7,0.61,0.86,0.68,0.48,0.6,0.82,0.53,0.67,0.61,0.81,0.56,0.49,0.5,0.81,0.55,0.55,0.58,0.83,0.64,0.57,0.61,0.79,0.5,0.67,0.6,0.78,0.66,0.62,0.52,0.78,0.61,0.74,0.58,0.82,0.54,0.79,0.64,0.85,0.44,0.65,0.6,0.85,0.67,0.72,0.54,0.83,0.59,0.54,0.61,0.81,0.51,0.62,0.54
"RandomForest",21,1,0.64,0.71,0.5,1,0.5,0.52,0.49,1,0.64,0.92,0.5,1,0.56,0.62,0.54,1,0.59,0.46,0.49,1,0.46,0.59,0.5,1,0.5,0.61,0.51,1,0.54,0.6,0.5,1,0.51,0.52,0.5,1,0.6,0.69,0.5,1,0.58,0.47,0.49,1,0.52,0.5,0.5,1,0.58,0.71,0.5,1,0.55,0.53,0.55,1,0.54,0.63,0.51,1,0.53,0.54,0.54,1,0.59,0.55,0.51,1,0.64,0.72,0.5,1,0.49,0.52,0.5,1,0.56,0.54,0.52
"Logistic",25,0.92,0.5,0.53,0.55,1,0.65,0.69,0.55,1,0.63,0.54,0.48,0.99,0.56,0.67,0.53,0.99,0.56,0.59,0.58,0.99,0.55,0.49,0.6,0.93,0.43,0.78,0.58,0.99,0.6,0.61,0.55,0.89,0.5,0.72,0.52,1,0.58,0.61,0.58,0.99,0.61,0.58,0.59,1,0.66,0.47,0.55,0.91,0.52,0.64,0.58,1,0.63,0.5,0.54,1,0.65,0.61,0.51,0.95,0.51,0.76,0.54,1,0.66,0.69,0.52,1,0.55,0.57,0.57,0.95,0.46,0.73,0.53,1,0.62,0.61,0.52
"SVC.c5",25,0.78,0.61,0.6,0.5,0.73,0.66,0.63,0.51,0.81,0.57,0.86,0.5,0.8,0.87,0.65,0.63,0.79,0.77,0.54,0.51,0.77,0.77,0.72,0.52,0.77,0.69,0.68,0.57,0.8,0.48,0.6,0.52,0.8,0.75,0.65,0.58,0.75,0.57,0.65,0.52,0.78,0.79,0.56,0.52,0.77,0.62,0.6,0.52,0.74,0.74,0.71,0.54,0.76,0.85,0.58,0.5,0.74,0.83,0.58,0.49,0.82,0.72,0.88,0.62,0.84,0.68,0.63,0.56,0.79,0.53,0.77,0.51,0.77,0.65,0.61,0.54,0.77,0.76,0.68,0.51
"SVC.c10",25,0.78,0.74,0.6,0.5,0.73,0.76,0.63,0.51,0.81,0.59,0.86,0.5,0.8,0.79,0.65,0.63,0.79,0.65,0.54,0.51,0.77,0.82,0.72,0.52,0.77,0.77,0.68,0.57,0.8,0.61,0.6,0.52,0.8,0.71,0.65,0.58,0.76,0.76,0.65,0.52,0.78,0.8,0.56,0.52,0.77,0.79,0.6,0.52,0.74,0.77,0.71,0.54,0.76,0.67,0.58,0.5,0.74,0.76,0.58,0.49,0.82,0.77,0.88,0.62,0.84,0.69,0.63,0.56,0.79,0.5,0.77,0.51,0.77,0.75,0.61,0.54,0.77,0.53,0.68,0.51
"SVC.c30",25,0.79,0.57,0.56,0.5,0.73,0.78,0.63,0.51,0.81,0.47,0.86,0.5,0.8,0.73,0.64,0.63,0.79,0.62,0.54,0.51,0.77,0.82,0.72,0.52,0.77,0.82,0.68,0.57,0.8,0.51,0.6,0.52,0.8,0.65,0.65,0.58,0.77,0.52,0.62,0.51,0.78,0.78,0.56,0.52,0.77,0.66,0.6,0.52,0.74,0.67,0.71,0.54,0.76,0.8,0.58,0.5,0.74,0.72,0.59,0.49,0.82,0.74,0.88,0.62,0.84,0.68,0.63,0.56,0.8,0.61,0.77,0.5,0.78,0.73,0.61,0.55,0.77,0.56,0.68,0.5
"SVC.c50",25,0.82,0.6,0.46,0.49,0.74,0.84,0.65,0.5,0.81,0.55,0.85,0.5,0.8,0.8,0.64,0.63,0.8,0.62,0.54,0.51,0.77,0.76,0.73,0.52,0.78,0.68,0.69,0.57,0.82,0.58,0.47,0.5,0.8,0.66,0.65,0.58,0.8,0.6,0.55,0.5,0.78,0.7,0.55,0.52,0.79,0.5,0.6,0.5,0.75,0.68,0.73,0.53,0.77,0.74,0.55,0.49,0.77,0.71,0.63,0.47,0.82,0.66,0.88,0.62,0.84,0.53,0.63,0.56,0.82,0.66,0.73,0.49,0.79,0.57,0.62,0.54,0.78,0.58,0.63,0.5
"SVC.c80",25,0.84,0.63,0.5,0.52,0.78,0.73,0.69,0.52,0.83,0.58,0.81,0.54,0.8,0.75,0.64,0.63,0.82,0.53,0.51,0.53,0.78,0.77,0.77,0.56,0.8,0.64,0.71,0.59,0.84,0.64,0.57,0.57,0.82,0.55,0.67,0.59,0.8,0.63,0.5,0.49,0.8,0.7,0.52,0.55,0.82,0.58,0.58,0.53,0.78,0.66,0.76,0.51,0.79,0.69,0.56,0.49,0.78,0.69,0.7,0.49,0.82,0.58,0.89,0.62,0.85,0.58,0.67,0.58,0.83,0.63,0.71,0.51,0.82,0.54,0.59,0.57,0.8,0.52,0.59,0.5
"SVC.c100",25,0.86,0.61,0.49,0.55,0.79,0.73,0.72,0.55,0.84,0.6,0.77,0.56,0.81,0.75,0.64,0.63,0.82,0.5,0.51,0.56,0.79,0.72,0.81,0.59,0.81,0.58,0.72,0.6,0.86,0.68,0.59,0.59,0.83,0.53,0.7,0.6,0.81,0.56,0.51,0.49,0.81,0.66,0.53,0.56,0.83,0.61,0.58,0.53,0.8,0.54,0.77,0.53,0.79,0.6,0.6,0.49,0.79,0.56,0.72,0.5,0.83,0.52,0.9,0.63,0.86,0.56,0.72,0.59,0.85,0.63,0.69,0.53,0.83,0.52,0.58,0.58,0.81,0.49,0.56,0.52
"RandomForest",25,1,0.61,0.69,0.52,1,0.51,0.51,0.53,1,0.66,0.97,0.53,1,0.57,0.64,0.5,1,0.55,0.59,0.54,1,0.49,0.61,0.55,1,0.49,0.56,0.52,1,0.54,0.7,0.53,1,0.51,0.52,0.51,1,0.61,0.7,0.54,1,0.57,0.63,0.53,1,0.54,0.52,0.53,1,0.56,0.61,0.56,1,0.55,0.56,0.55,1,0.54,0.54,0.56,1,0.53,0.54,0.52,1,0.59,0.68,0.53,1,0.62,0.78,0.54,1,0.51,0.56,0.53,1,0.57,0.73,0.56
"Logistic",29,1,0.54,0.65,0.6,1,0.58,0.75,0.53,1,0.59,0.55,0.59,1,0.51,0.59,0.58,1,0.54,0.55,0.63,1,0.57,0.63,0.62,1,0.49,0.8,0.51,1,0.58,0.55,0.55,0.97,0.51,0.76,0.53,1,0.55,0.62,0.59,1,0.54,0.6,0.61,1,0.61,0.57,0.55,1,0.5,0.76,0.55,1,0.56,0.53,0.58,1,0.6,0.65,0.54,1,0.58,0.69,0.58,1,0.53,0.74,0.54,1,0.57,0.56,0.6,1,0.56,0.62,0.6,1,0.59,0.55,0.55
"SVC.c5",29,0.79,0.59,0.61,0.5,0.76,0.68,0.57,0.53,0.84,0.53,0.97,0.54,0.82,0.88,0.5,0.63,0.8,0.83,0.56,0.53,0.79,0.75,0.68,0.61,0.77,0.68,0.66,0.58,0.82,0.48,0.7,0.54,0.8,0.77,0.65,0.59,0.77,0.57,0.67,0.51,0.81,0.72,0.64,0.56,0.8,0.64,0.53,0.55,0.76,0.72,0.65,0.54,0.78,0.89,0.56,0.51,0.75,0.82,0.6,0.52,0.83,0.77,0.83,0.62,0.84,0.71,0.64,0.53,0.8,0.5,0.81,0.5,0.8,0.65,0.54,0.55,0.79,0.68,0.72,0.49
"SVC.c10",29,0.79,0.76,0.61,0.5,0.76,0.75,0.57,0.53,0.84,0.53,0.97,0.54,0.82,0.78,0.5,0.63,0.8,0.67,0.56,0.53,0.79,0.81,0.68,0.61,0.78,0.8,0.66,0.58,0.82,0.61,0.7,0.54,0.8,0.78,0.65,0.59,0.77,0.77,0.67,0.51,0.81,0.8,0.64,0.56,0.8,0.75,0.53,0.55,0.76,0.75,0.65,0.54,0.78,0.66,0.56,0.51,0.75,0.75,0.6,0.52,0.82,0.8,0.83,0.62,0.84,0.72,0.64,0.53,0.8,0.48,0.81,0.5,0.8,0.73,0.54,0.55,0.79,0.51,0.72,0.49
"SVC.c30",29,0.81,0.59,0.59,0.49,0.77,0.8,0.58,0.54,0.84,0.56,0.97,0.54,0.82,0.76,0.49,0.63,0.8,0.64,0.56,0.53,0.79,0.83,0.68,0.62,0.78,0.87,0.66,0.58,0.83,0.47,0.7,0.54,0.8,0.69,0.65,0.59,0.79,0.53,0.59,0.49,0.81,0.78,0.64,0.56,0.8,0.64,0.53,0.55,0.76,0.71,0.65,0.54,0.78,0.81,0.56,0.51,0.76,0.71,0.62,0.52,0.83,0.8,0.83,0.62,0.84,0.67,0.64,0.53,0.82,0.63,0.78,0.52,0.81,0.6,0.55,0.54,0.8,0.58,0.71,0.51
"SVC.c50",29,0.84,0.56,0.51,0.53,0.79,0.76,0.58,0.57,0.86,0.67,1,0.57,0.82,0.83,0.49,0.63,0.81,0.63,0.52,0.55,0.8,0.8,0.68,0.62,0.78,0.71,0.67,0.59,0.85,0.61,0.66,0.56,0.8,0.71,0.66,0.59,0.82,0.58,0.5,0.53,0.81,0.7,0.64,0.57,0.83,0.51,0.54,0.57,0.77,0.67,0.7,0.56,0.79,0.81,0.57,0.52,0.78,0.76,0.66,0.54,0.83,0.72,0.83,0.62,0.85,0.53,0.66,0.54,0.84,0.63,0.73,0.55,0.83,0.55,0.55,0.57,0.82,0.6,0.69,0.56
"SVC.c80",29,0.86,0.56,0.49,0.57,0.81,0.66,0.59,0.63,0.87,0.7,1,0.58,0.82,0.78,0.49,0.63,0.84,0.47,0.49,0.58,0.81,0.73,0.69,0.63,0.81,0.75,0.68,0.61,0.88,0.68,0.69,0.6,0.83,0.65,0.7,0.6,0.84,0.57,0.51,0.58,0.83,0.61,0.65,0.58,0.84,0.6,0.55,0.59,0.8,0.65,0.75,0.6,0.81,0.72,0.66,0.55,0.8,0.7,0.7,0.59,0.84,0.65,0.86,0.63,0.86,0.58,0.79,0.56,0.87,0.6,0.64,0.58,0.86,0.58,0.51,0.6,0.84,0.57,0.68,0.59
